batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p0-001,1,75,P0,verify_distinct_submit_url_for_existing_domain,https://aiscout.net/submit,aiscout.net,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: URL path looks like a submission endpoint; This operation was aborted; same-domain variant must not use generic approved,,This operation was aborted,yes,review_row:75,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T05:35:36.757Z
p0-001,2,79,P0,verify_distinct_submit_url_for_existing_domain,https://aitoolsdirectory.com/submit,aitoolsdirectory.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: URL path looks like a submission endpoint; This operation was aborted; same-domain variant must not use generic approved,,This operation was aborted,yes,review_row:79,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T05:35:46.773Z
p0-001,3,117,P0,verify_distinct_submit_url_for_existing_domain,https://betalist.com/submit,betalist.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; Cloudflare/human verification signal found; 2 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,login/register or OAuth signal found,yes,review_row:117,200,yes,https://betalist.com/sign_in,betalist.com,2,5,yes,no,yes,yes,no,no,yes,no,no,,2026-05-22T05:35:56.776Z
p0-001,4,208,P0,verify_distinct_submit_url_for_existing_domain,https://devhunt.org/submit,devhunt.org,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; URL path looks like a submission endpoint; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:208,200,yes,https://devhunt.org/submit,devhunt.org,0,0,no,yes,no,no,no,yes,no,no,no,,2026-05-22T05:35:59.517Z
p0-001,5,246,P0,verify_distinct_submit_url_for_existing_domain,https://fazier.com/submit,fazier.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved,paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:246,200,yes,https://fazier.com/submit,fazier.com,0,0,yes,yes,yes,yes,no,yes,yes,yes,no,,2026-05-22T05:36:01.041Z
p0-001,6,271,P0,verify_distinct_submit_url_for_existing_domain,https://www.futurepedia.io/submit-tool,futurepedia.io,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,"payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved",paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:271,200,yes,https://www.futurepedia.io/submit-tool,futurepedia.io,2,2,yes,yes,yes,yes,no,yes,yes,yes,no,,2026-05-22T05:36:02.803Z
p0-001,7,363,P0,verify_distinct_submit_url_for_existing_domain,https://microlaunch.net/submit,microlaunch.net,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; HTTP 404; same-domain variant must not use generic approved,,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:363,404,no,https://microlaunch.net/submit,microlaunch.net,0,1,yes,yes,yes,no,no,yes,yes,no,no,HTTP 404,2026-05-22T05:36:04.057Z
p0-001,8,421,P0,verify_distinct_submit_url_for_existing_domain,https://pitchwall.co/submit,pitchwall.co,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved,paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:421,200,yes,https://pitchwall.co/submit,pitchwall.co,0,1,yes,yes,yes,no,no,no,yes,yes,no,,2026-05-22T05:36:05.459Z
p0-001,9,427,P0,verify_distinct_submit_url_for_existing_domain,https://poweredbyai.app/submit,poweredbyai.app,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_duplicate,reject_duplicate,high,,reject_if_registry_url_is_the_same_submission_endpoint,"normalized URL duplicates an existing registry submit URL; evidence: normalized URL duplicates registry submit URL; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,normalized URL duplicates an existing registry submit URL,yes,review_row:427,200,yes,https://poweredbyai.app/submit-tool,poweredbyai.app,1,10,yes,yes,yes,no,no,yes,yes,no,yes,,2026-05-22T05:36:07.983Z
p0-001,10,503,P0,verify_distinct_submit_url_for_existing_domain,https://startupstash.com/submit,startupstash.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; HTTP 403; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:503,403,no,https://startupstash.com/submit,startupstash.com,0,0,no,yes,yes,no,no,yes,yes,no,no,HTTP 403,2026-05-22T05:36:11.925Z
p0-001,11,527,P0,verify_distinct_submit_url_for_existing_domain,https://theresanaiforthat.com/submit,theresanaiforthat.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; URL path looks like a submission endpoint; HTTP 403; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:527,403,no,https://theresanaiforthat.com/submit,theresanaiforthat.com,0,0,no,yes,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T05:36:13.325Z
p0-001,12,536,P0,verify_distinct_submit_url_for_existing_domain,https://www.toolify.ai/submit,toolify.ai,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; HTTP 403; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:536,403,no,https://www.toolify.ai/submit,toolify.ai,0,0,no,yes,yes,no,no,yes,yes,no,no,HTTP 403,2026-05-22T05:36:18.056Z
p0-001,13,539,P0,verify_distinct_submit_url_for_existing_domain,https://topai.tools/submit,topai.tools,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,"payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved",paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:539,200,yes,https://topai.tools/submit,topai.tools,1,1,yes,yes,yes,yes,no,yes,no,yes,no,,2026-05-22T05:36:19.300Z
p0-001,14,250,P0,verify_distinct_submit_url_for_existing_domain,https://findmyaitool.com/submit,findmyaitool.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_duplicate,reject_duplicate,high,,reject_if_registry_url_is_the_same_submission_endpoint,normalized URL duplicates an existing registry submit URL; evidence: normalized URL duplicates registry submit URL; payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved,,normalized URL duplicates an existing registry submit URL,yes,review_row:250,200,yes,https://findmyaitool.com/submit-tool,findmyaitool.com,0,9,yes,yes,yes,yes,no,yes,no,yes,yes,,2026-05-22T05:36:20.953Z
p0-001,15,537,P0,verify_distinct_submit_url_for_existing_domain,https://toolpilot.ai/submit,toolpilot.ai,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; HTTP 404; same-domain variant must not use generic approved",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:537,404,no,https://www.toolpilot.ai/submit,toolpilot.ai,4,15,yes,yes,yes,yes,no,yes,no,yes,no,HTTP 404,2026-05-22T05:36:23.404Z
p0-001,16,277,P0,verify_distinct_submit_url_for_existing_domain,https://github.com/,github.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 5 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,login/register or OAuth signal found,yes,review_row:277,200,yes,https://github.com/,github.com,5,14,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T05:36:26.955Z
p0-001,17,60,P0,verify_distinct_submit_url_for_existing_domain,https://www.activesearchresults.com/,activesearchresults.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; 1 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,login/register or OAuth signal found,yes,review_row:60,200,yes,https://www.activesearchresults.com/,activesearchresults.com,1,5,yes,no,yes,yes,no,no,no,no,no,,2026-05-22T05:36:28.002Z
p0-001,18,74,P0,verify_distinct_submit_url_for_existing_domain,https://airtable.com/marketplace,airtable.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed; same-domain variant must not use generic approved,,fetch failed,yes,review_row:74,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T05:36:29.545Z
p0-001,19,86,P0,verify_distinct_submit_url_for_existing_domain,https://alternativeto.net/software/_/add,alternativeto.net,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:86,403,no,https://alternativeto.net/software/_/add,alternativeto.net,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T05:36:29.895Z
p0-001,20,87,P0,verify_distinct_submit_url_for_existing_domain,https://andyroamer.com/,andyroamer.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,medium,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found; evidence: directory/listing marketplace text signal found; same-domain variant must not use generic approved",,"no submit path, submit button, or form signal found",yes,review_row:87,200,yes,https://andyroamer.com/,andyroamer.com,0,0,no,no,yes,no,no,no,no,no,no,,2026-05-22T05:36:31.589Z
p0-001,21,167,P0,verify_distinct_submit_url_for_existing_domain,https://www.business-software.com/,business-software.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,login/register or OAuth signal found,yes,review_row:167,200,yes,https://www.business-software.com/,business-software.com,4,15,yes,no,yes,yes,no,yes,no,no,no,,2026-05-22T05:36:32.476Z
