batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-016,8,P2,37,405,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: OpenClaw skills/plugins directory is legitimate and free for skills/plugins, but submission requires Google sign-in and is only relevant to OpenClaw extensions; route to assisted auth/manual, not automated backlink submission.",codex,,openclawdir.com,free,en,developer_directory_auth_required,needs_manual_review,https://openclawdir.com/,openclawdir.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 96:url; directory-submissions-external-links.md:98,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,9,P2,37,407,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: openPR supports one free press release every 30 days, but requires an account/dashboard and editorial/compliance workflow; route to assisted manual PR workflow, not automated directory submission.",codex,,openpr.com,free,en,press_release_distribution_auth_required,needs_manual_review,https://www.openpr.com/,openpr.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 224:url; directory-submissions-external-links.md:226,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,10,P2,37,411,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: text/code paste hosting platform, not a product/business directory; unsuitable for structured backlink submission.",codex,,pastebin.com,free,en,content_publishing_platform,needs_manual_review,https://pastebin.com/,pastebin.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 98:url; directory-submissions-external-links.md:100,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,11,P2,37,413,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: creator membership/commerce platform. Creating a creator page is not a directory submission and requires account setup; unsuitable for generic backlink directory workflow.,codex,,patreon.com,free,en,creator_monetization_platform,needs_manual_review,https://www.patreon.com/,patreon.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 225:url; directory-submissions-external-links.md:227,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,12,P2,37,414,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: social bookmarking/collection platform requiring user account; not a structured product/startup directory submission target.,codex,,pearltrees.com,free,en,social_bookmarking_platform,needs_manual_review,https://www.pearltrees.com/,pearltrees.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 226:url; directory-submissions-external-links.md:228,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,13,P2,37,416,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: private online journal product, not a public product/business directory or listing submission surface.",codex,,penzu.com,free,en,product_site_not_directory,needs_manual_review,https://penzu.com/,penzu.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 100:url; directory-submissions-external-links.md:102,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,14,P2,37,420,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: Pipedream component marketplace/registry is valid for integrations/components, but contribution requires GitHub/Pipedream developer workflow and app fit; assisted integration contribution only, not automated backlink submission.",codex,,pipedream.com,free,en,integration_marketplace_auth_review,needs_manual_review,https://pipedream.com/docs/components,pipedream.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 101:url; directory-submissions-external-links.md:103,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,15,P2,37,424,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: real estate website/marketing SaaS, not a directory submission target.",codex,,placester.com,paid,en,product_site_not_directory,needs_manual_review,https://placester.com/,placester.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 103:url; directory-submissions-external-links.md:105,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,16,P2,37,426,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: home-services pro network/listing surface, but signup is gated through Porch Pro and only relevant for vetted home-service businesses; assisted vertical workflow only.",codex,,porch.com,unknown,en,vertical_home_services_directory_auth_required,needs_manual_review,https://porch.com/,porch.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 104:url; directory-submissions-external-links.md:106,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,17,P2,37,428,reject_not_submit,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: original domain pr-free.com did not yield a same-domain verified submit page. A likely valid free PR submit flow exists on cross-domain https://prfree.org/submit and must be reviewed/imported as a separate canonical target rather than approved through this row.,codex,,pr-free.com,unknown,en,press_release_cross_domain_submit_candidate,needs_manual_review,https://www.pr-free.com/,pr-free.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 227:url; directory-submissions-external-links.md:229,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,18,P2,37,429,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: PR.com has free press release/profile options, but account creation/editorial approval and optional paid link/distribution model make this an assisted PR workflow, not automated free-submit.",codex,,pr.com,free,en,press_release_distribution_auth_required,needs_manual_review,https://www.pr.com/,pr.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 228:url; directory-submissions-external-links.md:230,,,,,,,,,,,,,,,,,0,,
