batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-004,301,P2,26,330,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,labsk.net,unknown,unknown,missing_domain,needs_manual_review,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,1,repo-external-links.csv,repo-external-links.csv:row 207:url,,
p2-004,302,P2,26,334,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,learnalanguage.com,unknown,unknown,missing_domain,needs_manual_review,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian,learnalanguage.com,1,repo-external-links.csv,repo-external-links.csv:row 419:url,,
p2-004,303,P2,26,335,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,lilistravelplans.com,unknown,unknown,missing_domain,needs_manual_review,https://www.lilistravelplans.com/best-time-to-visit-tanzania,lilistravelplans.com,1,repo-external-links.csv,repo-external-links.csv:row 421:url,,
p2-004,304,P2,26,336,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,lilistravelplans.com,unknown,unknown,missing_domain,needs_manual_review,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania,lilistravelplans.com,1,repo-external-links.csv,repo-external-links.csv:row 422:url,,
p2-004,305,P2,26,337,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,lilistravelplans.com,unknown,unknown,missing_domain,needs_manual_review,https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania,lilistravelplans.com,1,repo-external-links.csv,repo-external-links.csv:row 423:url,,
p2-004,306,P2,26,342,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,loveandmarriageblog.com,unknown,unknown,missing_domain,needs_manual_review,https://loveandmarriageblog.com/beach-water-cocktail,loveandmarriageblog.com,1,repo-external-links.csv,repo-external-links.csv:row 213:url,,
p2-004,307,P2,26,343,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,lovestrategies.com,unknown,unknown,missing_domain,needs_manual_review,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life,lovestrategies.com,1,repo-external-links.csv,repo-external-links.csv:row 214:url,,
p2-004,308,P2,26,344,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,lovestrategies.com,unknown,unknown,missing_domain,needs_manual_review,https://lovestrategies.com/types-of-guys-who-stay-single,lovestrategies.com,1,repo-external-links.csv,repo-external-links.csv:row 215:url,,
p2-004,309,P2,26,345,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,madrimasd.org,unknown,unknown,missing_domain,needs_manual_review,https://www.madrimasd.org/blogs/astrofisica/2022/05/20/134942,madrimasd.org,1,repo-external-links.csv,repo-external-links.csv:row 425:url,,
p2-004,310,P2,26,346,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,madrimasd.org,unknown,unknown,missing_domain,needs_manual_review,https://www.madrimasd.org/blogs/matematicas/2024/02/11/150483,madrimasd.org,1,repo-external-links.csv,repo-external-links.csv:row 426:url,,
p2-004,311,P2,26,347,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,mae.gov.bi,unknown,unknown,missing_domain,needs_manual_review,https://www.mae.gov.bi/en/an-audience-with-the-iom-head-of-the-mission-in-burundi,mae.gov.bi,1,repo-external-links.csv,repo-external-links.csv:row 427:url,,
