batch_id,batch_order,review_row,review_action,url,domain,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,suggested_decision,evidence_notes,fetch_error,checked_at
p2-005,401,529,verify_directory_fit_before_any_approval,http://www.thinkgrowgiggle.com/2020/07/10-best-mentor-texts-to-use-for-reading.html,thinkgrowgiggle.com,200,yes,http://www.thinkgrowgiggle.com/2020/07/10-best-mentor-texts-to-use-for-reading.html,thinkgrowgiggle.com,no,text/html; charset=UTF-8,10 Best Mentor Texts to Use for Reading and Writing Lessons - Think Grow Giggle,3,2,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:28.667Z
p2-005,402,530,verify_directory_fit_before_any_approval,https://threewood.jp/hpgen/HPB/entries/25.html,threewood.jp,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,This operation was aborted,This operation was aborted,2026-05-22T08:36:33.435Z
p2-005,403,533,verify_directory_fit_before_any_approval,https://tonypolecastro.com/at204,tonypolecastro.com,200,yes,https://tonypolecastro.com/at204/,tonypolecastro.com,no,text/html; charset=UTF-8,What&#8217;s an Acoustic Guitar DI &#038; 6 Best DI Pedals • Acoustic Tuesday 204 &#8211; Tony&#039;s Acoustic Challenge,4,32,yes,no,no,yes,no,yes,no,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; 4 form(s), 32 input/select/textarea fields; submit/add/list/publish button text signal found",,2026-05-22T08:36:43.439Z
p2-005,404,534,verify_directory_fit_before_any_approval,https://tonypolecastro.com/guitar-notes-for-beginners/comment-page-12,tonypolecastro.com,200,yes,https://tonypolecastro.com/guitar-notes-for-beginners/comment-page-12/,tonypolecastro.com,no,text/html; charset=UTF-8,Guitar Notes: Everything a Beginner NEEDS to Know &#8211; Tony&#039;s Acoustic Challenge,4,32,yes,no,no,yes,no,yes,no,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; 4 form(s), 32 input/select/textarea fields; submit/add/list/publish button text signal found",,2026-05-22T08:36:50.156Z
p2-005,405,545,verify_directory_fit_before_any_approval,https://url/,url,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,fetch failed,fetch failed,2026-05-22T08:36:52.630Z
p2-005,406,546,verify_directory_fit_before_any_approval,https://www.visitrichmond.co.uk/blog/read/2024/03/english-tourism-week-2024-gardens-and-parks-b48,visitrichmond.co.uk,200,yes,https://www.visitrichmond.co.uk/blog/read/2024/03/english-tourism-week-2024-gardens-and-parks-b48,visitrichmond.co.uk,no,text/html; charset=utf-8,English Tourism Week 2024: Gardens and Parks - VisitRichmond,2,5,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:57.156Z
p2-005,407,547,verify_directory_fit_before_any_approval,http://www.w3.org/2000/svg,w3.org,200,yes,https://www.w3.org/2000/svg,w3.org,no,text/html; charset=iso-8859-1,SVG namespace,0,0,no,no,no,no,no,no,no,no,no,reject_not_submit,,,2026-05-22T08:37:01.289Z
p2-005,408,548,verify_directory_fit_before_any_approval,https://wallhaven.cc/user/lauralehman,wallhaven.cc,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,This operation was aborted,This operation was aborted,2026-05-22T08:37:03.315Z
p2-005,409,556,verify_directory_fit_before_any_approval,https://www.weirdsciencedccomics.com/2022/02/batmancatwoman-10-review.html,weirdsciencedccomics.com,200,yes,https://www.weirdsciencedccomics.com/2022/02/batmancatwoman-10-review.html,weirdsciencedccomics.com,no,text/html; charset=UTF-8,Weird Science DC Comics: Batman/Catwoman #10 Review,1,2,yes,no,yes,no,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; CAPTCHA signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:37:13.326Z
p2-005,410,561,verify_directory_fit_before_any_approval,https://whimsysoul.com/napa-valley-wine-train,whimsysoul.com,403,no,https://whimsysoul.com/napa-valley-wine-train,whimsysoul.com,no,text/html; charset=UTF-8,Just a moment...,0,0,no,no,no,no,no,yes,yes,no,no,review_fetch_failed,CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,HTTP 403,2026-05-22T08:37:16.329Z
