batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-recheck-003,95,P2,26,147,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; host/path (blogs.city.ac.uk/sustainable-city/sortingchallenge/sorting-challenge-2014-15) looks like a blog/news content page, not a directory; evidence: login/register signal found; CAPTCHA signal found; 2 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,blogs.city.ac.uk,unknown,unknown,missing_domain,needs_manual_review,https://blogs.city.ac.uk/sustainable-city/sortingchallenge/sorting-challenge-2014-15,blogs.city.ac.uk,1,resources/backlink-resources.json,resources/backlink-resources.json:796,,
p2-recheck-003,96,P2,26,148,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; host/path (blogs.deusto.es/innovandis/exprime-las-naranjas) looks like a blog/news content page, not a directory; evidence: CAPTCHA signal found; 4 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,blogs.deusto.es,unknown,unknown,missing_domain,needs_manual_review,https://blogs.deusto.es/innovandis/exprime-las-naranjas,blogs.deusto.es,1,resources/backlink-resources.json,resources/backlink-resources.json:1786,,
p2-recheck-003,97,P2,26,149,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; host/path (blogs.deusto.es/innovandis/llegando-al-nivel-pro-con-lxs-20g-en-innovandis) looks like a blog/news content page, not a directory; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,blogs.deusto.es,unknown,unknown,missing_domain,needs_manual_review,https://blogs.deusto.es/innovandis/llegando-al-nivel-pro-con-lxs-20g-en-innovandis,blogs.deusto.es,1,resources/backlink-resources.json,resources/backlink-resources.json:268,,
p2-recheck-003,98,P2,26,150,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; URL path (/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; CAPTCHA signal found; 4 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,blogs.eltiempo.com,unknown,unknown,missing_domain,needs_manual_review,https://blogs.eltiempo.com/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i,blogs.eltiempo.com,1,resources/backlink-resources.json,resources/backlink-resources.json:59,,
p2-recheck-003,99,P2,26,151,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; host/path (blogs.evergreen.edu/morisa24/box-2-2) looks like a blog/news content page, not a directory; evidence: payment/pricing signal found; login/register signal found; 2 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,blogs.evergreen.edu,unknown,unknown,missing_domain,needs_manual_review,http://blogs.evergreen.edu/morisa24/box-2-2,blogs.evergreen.edu,1,resources/backlink-resources.json,resources/backlink-resources.json:1841,,
p2-recheck-003,100,P2,26,152,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; host/path (blogs.evergreen.edu/morisa24/box-4) looks like a blog/news content page, not a directory; evidence: fetch failed",read_only_evidence,,blogs.evergreen.edu,unknown,unknown,missing_domain,needs_manual_review,http://blogs.evergreen.edu/morisa24/box-4,blogs.evergreen.edu,1,resources/backlink-resources.json,resources/backlink-resources.json:2050,,
p2-recheck-003,101,P2,26,153,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; URL path (/padm3601/2015/02/11/death-penalty) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found; 3 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,blogs.memphis.edu,unknown,unknown,missing_domain,needs_manual_review,https://blogs.memphis.edu/padm3601/2015/02/11/death-penalty,blogs.memphis.edu,1,resources/backlink-resources.json,resources/backlink-resources.json:477,,
p2-recheck-003,102,P2,26,154,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; host/path (blogs.ubc.ca/etec540socialmedia2013/sample-page/introduction-to-google) looks like a blog/news content page, not a directory; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,blogs.ubc.ca,unknown,unknown,missing_domain,needs_manual_review,https://blogs.ubc.ca/etec540socialmedia2013/sample-page/introduction-to-google,blogs.ubc.ca,1,resources/backlink-resources.json,resources/backlink-resources.json:1489,,
p2-recheck-003,103,P2,26,155,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; URL path (/brits/2014/06/01/sales-growth-curves) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,blogs.ucl.ac.uk,unknown,unknown,missing_domain,needs_manual_review,https://blogs.ucl.ac.uk/brits/2014/06/01/sales-growth-curves,blogs.ucl.ac.uk,1,resources/backlink-resources.json,resources/backlink-resources.json:752,,
p2-recheck-003,104,P2,26,156,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; URL path (/startklar/quellen-und-verweise/comment-page-3) looks like a source article, profile, forum, comment, or issue page; evidence: 2 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,blogs.urz.uni-halle.de,unknown,unknown,missing_domain,needs_manual_review,https://blogs.urz.uni-halle.de/startklar/quellen-und-verweise/comment-page-3,blogs.urz.uni-halle.de,1,resources/backlink-resources.json,resources/backlink-resources.json:1599,,
p2-recheck-003,105,P2,26,157,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; URL path (/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 4 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,blogs.uww.edu,unknown,unknown,missing_domain,needs_manual_review,https://blogs.uww.edu/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games,blogs.uww.edu,1,resources/backlink-resources.json,resources/backlink-resources.json:279,,
