batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-028,8,P2,26,328,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=224 is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,kt.rim.or.jp,free,unknown,comment_page,needs_manual_review,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=224,kt.rim.or.jp,1,resources/backlink-resources.json,resources/backlink-resources.json:598,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,9,P2,26,329,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=239 is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,kt.rim.or.jp,free,unknown,comment_page,needs_manual_review,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=239,kt.rim.or.jp,1,resources/backlink-resources.json,resources/backlink-resources.json:1588,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,10,P2,26,330,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://labsk.net/index.php?action=profile%3Bu%3D50620 is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,labsk.net,free,unknown,forum_profile,needs_manual_review,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,1,resources/backlink-resources.json,resources/backlink-resources.json:1291,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,11,P2,26,334,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,learnalanguage.com,free,unknown,blog_article,needs_manual_review,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian,learnalanguage.com,1,resources/backlink-resources.json,resources/backlink-resources.json:455,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,12,P2,26,335,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.lilistravelplans.com/best-time-to-visit-tanzania is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,lilistravelplans.com,free,unknown,blog_article,needs_manual_review,https://www.lilistravelplans.com/best-time-to-visit-tanzania,lilistravelplans.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1874,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,13,P2,26,336,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,lilistravelplans.com,free,unknown,blog_article,needs_manual_review,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania,lilistravelplans.com,1,resources/backlink-resources.json,resources/backlink-resources.json:686,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,14,P2,26,337,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,lilistravelplans.com,free,unknown,blog_article,needs_manual_review,https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania,lilistravelplans.com,1,resources/backlink-resources.json,resources/backlink-resources.json:2028,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,15,P2,26,342,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://loveandmarriageblog.com/beach-water-cocktail is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,loveandmarriageblog.com,free,unknown,blog_article,needs_manual_review,https://loveandmarriageblog.com/beach-water-cocktail,loveandmarriageblog.com,1,resources/backlink-resources.json,resources/backlink-resources.json:2017,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,16,P2,26,343,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,lovestrategies.com,free,unknown,blog_article,needs_manual_review,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life,lovestrategies.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1093,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,17,P2,26,344,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://lovestrategies.com/types-of-guys-who-stay-single is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,lovestrategies.com,free,unknown,blog_article,needs_manual_review,https://lovestrategies.com/types-of-guys-who-stay-single,lovestrategies.com,1,resources/backlink-resources.json,resources/backlink-resources.json:2039,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,18,P2,26,345,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.madrimasd.org/blogs/astrofisica/2022/05/20/134942 is a comment page, profile, article, notice, travel/lifestyle content, or employer page. It is not a structured product/startup/SaaS directory or submission endpoint.",codex,,madrimasd.org,free,unknown,blog_article,needs_manual_review,https://www.madrimasd.org/blogs/astrofisica/2022/05/20/134942,madrimasd.org,1,resources/backlink-resources.json,resources/backlink-resources.json:1951,,,,,,,,,,,,,,,,,0,,
