batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-022,8,P2,26,138,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blog.prusa3d.com/make-it-fly-contest-winners_77429 is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blog.prusa3d.com,free,unknown,blog_article,needs_manual_review,https://blog.prusa3d.com/make-it-fly-contest-winners_77429,blog.prusa3d.com,1,resources/backlink-resources.json,resources/backlink-resources.json:499,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,9,P2,26,139,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: http://blog.setlist.fm/2009/03/setlistfm-hits-blogosphere.html is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blog.setlist.fm,free,unknown,blog_article,needs_manual_review,http://blog.setlist.fm/2009/03/setlistfm-hits-blogosphere.html,blog.setlist.fm,1,resources/backlink-resources.json,resources/backlink-resources.json:1313,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,10,P2,26,140,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blog.tallmenshoes.com/2018/10/5-ways-to-elevate-your-fashion.html is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blog.tallmenshoes.com,free,unknown,blog_article,needs_manual_review,https://blog.tallmenshoes.com/2018/10/5-ways-to-elevate-your-fashion.html,blog.tallmenshoes.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1929,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,11,P2,26,141,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: http://blog.thefirestore.com/2017/06/aztek-kit-strong-versatile-reliable.html is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blog.thefirestore.com,free,unknown,blog_article,needs_manual_review,http://blog.thefirestore.com/2017/06/aztek-kit-strong-versatile-reliable.html,blog.thefirestore.com,1,resources/backlink-resources.json,resources/backlink-resources.json:433,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,12,P2,26,144,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blogg.ng.se/michael-gill/2016/01/jag-och-dottern-oppnar-star-wars-lador is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blogg.ng.se,free,unknown,blog_article,needs_manual_review,https://blogg.ng.se/michael-gill/2016/01/jag-och-dottern-oppnar-star-wars-lador,blogg.ng.se,1,resources/backlink-resources.json,resources/backlink-resources.json:323,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,13,P2,26,145,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blogg.ng.se/paparazzibloggen/2021/03/exklusiv-forhandslyssning-av-david-bowies-dotters-nya-musik is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blogg.ng.se,free,unknown,blog_article,needs_manual_review,https://blogg.ng.se/paparazzibloggen/2021/03/exklusiv-forhandslyssning-av-david-bowies-dotters-nya-musik,blogg.ng.se,1,resources/backlink-resources.json,resources/backlink-resources.json:774,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,14,P2,26,147,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blogs.city.ac.uk/sustainable-city/sortingchallenge/sorting-challenge-2014-15 is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blogs.city.ac.uk,free,unknown,blog_article,needs_manual_review,https://blogs.city.ac.uk/sustainable-city/sortingchallenge/sorting-challenge-2014-15,blogs.city.ac.uk,1,resources/backlink-resources.json,resources/backlink-resources.json:796,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,15,P2,26,148,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blogs.deusto.es/innovandis/exprime-las-naranjas is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blogs.deusto.es,free,unknown,blog_article,needs_manual_review,https://blogs.deusto.es/innovandis/exprime-las-naranjas,blogs.deusto.es,1,resources/backlink-resources.json,resources/backlink-resources.json:1786,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,16,P2,26,149,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blogs.deusto.es/innovandis/llegando-al-nivel-pro-con-lxs-20g-en-innovandis is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blogs.deusto.es,free,unknown,blog_article,needs_manual_review,https://blogs.deusto.es/innovandis/llegando-al-nivel-pro-con-lxs-20g-en-innovandis,blogs.deusto.es,1,resources/backlink-resources.json,resources/backlink-resources.json:268,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,17,P2,26,150,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blogs.eltiempo.com/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blogs.eltiempo.com,free,unknown,blog_article,needs_manual_review,https://blogs.eltiempo.com/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i,blogs.eltiempo.com,1,resources/backlink-resources.json,resources/backlink-resources.json:59,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,18,P2,26,151,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: http://blogs.evergreen.edu/morisa24/box-2-2 is a specific blog/article or university blog content page, not a structured directory/listing submission target.",codex,,blogs.evergreen.edu,free,unknown,blog_article,needs_manual_review,http://blogs.evergreen.edu/morisa24/box-2-2,blogs.evergreen.edu,1,resources/backlink-resources.json,resources/backlink-resources.json:1841,,,,,,,,,,,,,,,,,0,,
