batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p0-010,1,75,P0,verify_distinct_submit_url_for_existing_domain,https://aiscout.net/submit,aiscout.net,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: URL path looks like a submission endpoint; This operation was aborted; same-domain variant must not use generic approved,,This operation was aborted,yes,review_row:75,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-28T04:14:31.316Z,,,,,,,,,,,,,,,0,,
p0-010,2,79,P0,verify_distinct_submit_url_for_existing_domain,https://aitoolsdirectory.com/submit,aitoolsdirectory.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed; same-domain variant must not use generic approved,,fetch failed,yes,review_row:79,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:14:46.342Z,,,,,,,,,,,,,,,0,,
p0-010,3,208,P0,verify_distinct_submit_url_for_existing_domain,https://devhunt.org/submit,devhunt.org,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; URL path looks like a submission endpoint; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:208,200,yes,https://devhunt.org/submit,devhunt.org,0,0,no,yes,no,no,no,yes,no,no,no,,2026-05-28T04:14:56.743Z,,,,,,,,,,,,,,,0,,
p0-010,4,472,P0,verify_distinct_submit_url_for_existing_domain,https://www.sideprojectors.com/project/new,sideprojectors.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:472,200,yes,https://www.sideprojectors.com/project/new,sideprojectors.com,0,0,no,no,yes,no,no,yes,yes,no,no,,2026-05-28T04:14:57.836Z,,,,,,,,,,,,,,,0,,
p0-010,5,497,P0,verify_distinct_submit_url_for_existing_domain,https://stackshare.io/new-product,stackshare.io,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 429; evidence: directory/listing marketplace text signal found; HTTP 429; same-domain variant must not use generic approved,,HTTP 429,yes,review_row:497,429,no,https://stackshare.io/new-product,stackshare.io,0,0,no,no,yes,no,no,no,no,no,no,HTTP 429,2026-05-28T04:14:59.556Z,,,,,,,,,,,,,,,0,,
p0-010,6,278,P0,verify_distinct_submit_url_for_existing_domain,https://github.com/$%7Btarget.repo%7D/issues/new?body=%24%7BencodeURIComponent%28body&title=%24%7BencodeURIComponent%28title%29%7D,github.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 5 form(s), 27 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; HTTP 404; same-domain variant must not use generic approved",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:278,404,no,https://github.com/$%7Btarget.repo%7D/issues/new?body=%24%7BencodeURIComponent%28body&title=%24%7BencodeURIComponent%28title%29%7D,github.com,5,27,yes,no,yes,yes,no,yes,no,yes,no,HTTP 404,2026-05-28T04:15:00.198Z,,,,,,,,,,,,,,,0,,
p0-010,7,280,P0,verify_distinct_submit_url_for_existing_domain,https://github.com/naxiaoduo/1000UserGuide,github.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:280,200,yes,https://github.com/naxiaoduo/1000UserGuide,github.com,3,11,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T04:15:01.772Z,,,,,,,,,,,,,,,0,,
p0-010,8,282,P0,verify_distinct_submit_url_for_existing_domain,https://github.com/niciral/bb-browser)%E3%80%81[rebrowser-playwright](https:/github.com/nickthecoder/rebrowser-playwright)%E3%80%82,github.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; HTTP 404; same-domain variant must not use generic approved",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:282,404,no,https://github.com/niciral/bb-browser)%E3%80%81[rebrowser-playwright](https:/github.com/nickthecoder/rebrowser-playwright)%E3%80%82,github.com,1,2,yes,no,no,no,no,no,no,no,no,HTTP 404,2026-05-28T04:15:02.913Z,,,,,,,,,,,,,,,0,,
p0-010,9,283,P0,verify_distinct_submit_url_for_existing_domain,https://github.com/nickthecoder/rebrowser-playwright,github.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 5 form(s), 27 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; HTTP 404; same-domain variant must not use generic approved",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:283,404,no,https://github.com/nickthecoder/rebrowser-playwright,github.com,5,27,yes,no,yes,yes,no,yes,no,yes,no,HTTP 404,2026-05-28T04:15:03.447Z,,,,,,,,,,,,,,,0,,
p0-010,10,462,P0,verify_distinct_submit_url_for_existing_domain,https://www.saashub.com/login,saashub.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; HTTP 403; same-domain variant must not use generic approved,,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:462,403,no,https://www.saashub.com/login,saashub.com,0,0,no,no,yes,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:15:03.992Z,,,,,,,,,,,,,,,0,,
