batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-recheck-002,48,P2,37,373,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,drafted from read-only evidence suggestion; confidence: high; CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; HTTP 403,read_only_evidence,,my.g2.com,unknown,unknown,missing_domain,needs_manual_review,https://my.g2.com/sellers/welcome,my.g2.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 87:url; directory-submissions-external-links.md:89,,
p2-recheck-002,49,P2,37,377,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,myfolio.com,unknown,unknown,missing_domain,needs_manual_review,https://myfolio.com/,myfolio.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 88:url; directory-submissions-external-links.md:90,,
p2-recheck-002,50,P2,37,386,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,read_only_evidence,,newsaasly.com,unknown,unknown,missing_domain,needs_manual_review,https://newsaasly.com/,newsaasly.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 91:url; directory-submissions-external-links.md:93,,
p2-recheck-002,51,P2,37,387,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,newswiretoday.com,unknown,unknown,missing_domain,needs_manual_review,https://www.newswiretoday.com/,newswiretoday.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 215:url; directory-submissions-external-links.md:217,,
p2-recheck-002,52,P2,37,394,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,nocodefounders.com,unknown,unknown,missing_domain,needs_manual_review,https://www.nocodefounders.com/,nocodefounders.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 220:url; directory-submissions-external-links.md:222,,
p2-recheck-002,53,P2,37,397,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,notion.so,unknown,unknown,missing_domain,needs_manual_review,https://www.notion.so/integrations,notion.so,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 221:url; directory-submissions-external-links.md:223,,
p2-recheck-002,54,P2,37,399,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 3 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,noxilo.com,unknown,unknown,missing_domain,needs_manual_review,https://noxilo.com/,noxilo.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 94:url; directory-submissions-external-links.md:96,,
p2-recheck-002,55,P2,37,401,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,onlineprnews.com,unknown,unknown,missing_domain,needs_manual_review,https://www.onlineprnews.com/,onlineprnews.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 222:url; directory-submissions-external-links.md:224,,
p2-recheck-002,56,P2,37,403,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,read_only_evidence,,open-launch.com,unknown,unknown,missing_domain,needs_manual_review,https://open-launch.com/,open-launch.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 95:url; directory-submissions-external-links.md:97,,
p2-recheck-002,57,P2,37,405,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,openclawdir.com,unknown,unknown,missing_domain,needs_manual_review,https://openclawdir.com/,openclawdir.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 96:url; directory-submissions-external-links.md:98,,
p2-recheck-002,58,P2,37,411,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,pastebin.com,unknown,unknown,missing_domain,needs_manual_review,https://pastebin.com/,pastebin.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 98:url; directory-submissions-external-links.md:100,,
p2-recheck-002,59,P2,37,413,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,patreon.com,unknown,unknown,missing_domain,needs_manual_review,https://www.patreon.com/,patreon.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 225:url; directory-submissions-external-links.md:227,,
p2-recheck-002,60,P2,37,414,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found",read_only_evidence,,pearltrees.com,unknown,unknown,missing_domain,needs_manual_review,https://www.pearltrees.com/,pearltrees.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 226:url; directory-submissions-external-links.md:228,,
p2-recheck-002,61,P2,37,416,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; directory/listing marketplace text signal found,read_only_evidence,,penzu.com,unknown,unknown,missing_domain,needs_manual_review,https://penzu.com/,penzu.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 100:url; directory-submissions-external-links.md:102,,
p2-recheck-002,62,P2,37,420,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found,read_only_evidence,,pipedream.com,unknown,unknown,missing_domain,needs_manual_review,https://pipedream.com/docs/components,pipedream.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 101:url; directory-submissions-external-links.md:103,,
p2-recheck-002,63,P2,37,424,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,read_only_evidence,,placester.com,unknown,unknown,missing_domain,needs_manual_review,https://placester.com/,placester.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 103:url; directory-submissions-external-links.md:105,,
p2-recheck-002,64,P2,37,426,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,porch.com,unknown,unknown,missing_domain,needs_manual_review,https://porch.com/,porch.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 104:url; directory-submissions-external-links.md:106,,
p2-recheck-002,65,P2,37,428,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,pr-free.com,unknown,unknown,missing_domain,needs_manual_review,https://www.pr-free.com/,pr-free.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 227:url; directory-submissions-external-links.md:229,,
p2-recheck-002,66,P2,37,429,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,pr.com,unknown,unknown,missing_domain,needs_manual_review,https://www.pr.com/,pr.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 228:url; directory-submissions-external-links.md:230,,
p2-recheck-002,67,P2,37,434,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 3 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,,prlog.org,unknown,unknown,missing_domain,needs_manual_review,https://www.prlog.org/,prlog.org,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 229:url; directory-submissions-external-links.md:231,,
p2-recheck-002,68,P2,37,440,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,read_only_evidence,,proofstories.io,unknown,unknown,missing_domain,needs_manual_review,https://proofstories.io/,proofstories.io,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 108:url; directory-submissions-external-links.md:110,,
p2-recheck-002,69,P2,37,444,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,quibblo.com,unknown,unknown,missing_domain,needs_manual_review,https://www.quibblo.com/,quibblo.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 232:url; directory-submissions-external-links.md:234,,
p2-recheck-002,70,P2,37,455,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,read_only_evidence,,replit.com,unknown,unknown,missing_domain,needs_manual_review,https://replit.com/,replit.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 109:url; directory-submissions-external-links.md:111,,
