batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-8-19,8,P2,37,316,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: publishing/content platform, not a product/directory submission target for backlink automation; no public directory listing submit flow verified.",codex,,issuu.com,free,en,content_publishing_platform,needs_manual_review,https://issuu.com/,issuu.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 79:url; directory-submissions-external-links.md:81,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,9,P2,37,325,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: expat/community classifieds and guides, not a SaaS/startup/product directory; only fit would be local/classified-specific manual campaign.",codex,,justlanded.com,free,en,classifieds_or_community,needs_manual_review,https://www.justlanded.com/,justlanded.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 201:url; directory-submissions-external-links.md:203,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,10,P2,37,326,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: data-science competition/dataset/notebook platform, not a general website/product directory submission target.",codex,,kaggle.com,free,en,developer_or_data_platform,needs_manual_review,https://www.kaggle.com/,kaggle.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 202:url; directory-submissions-external-links.md:204,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,11,P2,37,331,approved,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: legitimate curated website/design gallery with public Submit Website flow; free fit only for visually strong website/product landing page examples, not generic SaaS listing.",codex,https://land-book.com/submit,land-book.com,free,en,design_gallery_directory,needs_manual_review,https://land-book.com/,land-book.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 80:url; directory-submissions-external-links.md:82,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,12,P2,37,333,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: legal/lawyer directory for attorneys/firms, not suitable for generic SaaS backlink submission unless the product is a law firm profile.",codex,,lawyers.com,paid,en,vertical_legal_directory,needs_manual_review,https://www.lawyers.com/,lawyers.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 203:url; directory-submissions-external-links.md:205,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,13,P2,37,338,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: blogging/social publishing platform, not a product directory or structured website listing target.",codex,,livejournal.com,free,en,content_publishing_platform,needs_manual_review,https://www.livejournal.com/,livejournal.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 204:url; directory-submissions-external-links.md:206,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,14,P2,37,339,approved,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser review 2026-05-28: AI/LLM SEO tool directory with public free submit page; use only for relevant AI/SEO/GEO tools and expect CAPTCHA/human step.,codex,https://www.llmrelevance.com/submit,llmrelevance.com,free,en,ai_tool_directory,needs_manual_review,https://www.llmrelevance.com/,llmrelevance.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 205:url; directory-submissions-external-links.md:207,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,15,P2,37,340,approved,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: classifieds/local listing site with free ad posting; only appropriate for local business/service campaigns, not generic SaaS directory automation.",codex,https://www.locanto.com/post-free-ad/,locanto.com,free,en,classifieds_or_local_directory,needs_manual_review,https://www.locanto.com/,locanto.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 206:url; directory-submissions-external-links.md:208,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,16,P2,37,350,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: partner marketplace/application path requires partner/account qualification; route to assisted/manual integration-partner workflow, not automated backlink submission.",codex,,make.com,free,en,integration_partner_marketplace,needs_manual_review,https://www.make.com/en/partners,make.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 207:url; directory-submissions-external-links.md:209,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,17,P2,37,351,reject_paid,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: no-code/maker education/community site; listing/add flow appears paid or gated, not a free public directory submission.",codex,,makerpad.co,paid,en,nocode_community_or_education,needs_manual_review,https://www.makerpad.co/,makerpad.co,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 208:url; directory-submissions-external-links.md:210,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,18,P2,37,352,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: tool directory/listing site, but Add Tool routes through dashboard/login/human-verification; keep out of automated free-submit queue unless assisted account flow is planned.",codex,,makerthrive.com,unknown,en,tool_directory_auth_required,needs_manual_review,https://makerthrive.com/,makerthrive.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 85:url; directory-submissions-external-links.md:87,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,19,P2,37,357,approved,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser review 2026-05-28: local business directory; free claim/add-business style listing is useful only for real local-business identity, not generic SaaS/product directory submission.",codex,https://www.manta.com/add-business,manta.com,free,en,local_business_directory,needs_manual_review,https://www.manta.com/,manta.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 209:url; directory-submissions-external-links.md:211,,,,,,,,,,,,,,,,,0,,
