batch_id,batch_order,review_row,review_action,url,domain,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,suggested_decision,evidence_notes,fetch_error,checked_at
coverage-review-p2-032,8,452,verify_directory_fit_before_any_approval,https://www.repeatcrafterme.com/2019/01/crochet-moss-stitch-in-a-rectangle.html,repeatcrafterme.com,200,yes,https://www.repeatcrafterme.com/2019/01/crochet-moss-stitch-in-a-rectangle.html,repeatcrafterme.com,no,text/html; charset=UTF-8,Crochet Moss Stitch in a Rectangle - Repeat Crafter Me,3,18,yes,no,yes,yes,no,yes,yes,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:51:54.440Z
coverage-review-p2-032,9,453,verify_directory_fit_before_any_approval,https://www.repeatcrafterme.com/2019/05/crochet-avocado.html,repeatcrafterme.com,200,yes,https://www.repeatcrafterme.com/2019/05/crochet-avocado.html,repeatcrafterme.com,no,text/html; charset=UTF-8,Crochet Avocado - Repeat Crafter Me,3,18,yes,no,yes,yes,no,yes,yes,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:51:56.610Z
coverage-review-p2-032,10,454,verify_directory_fit_before_any_approval,https://www.repeatcrafterme.com/2025/02/crochet-furry-friends-book.html,repeatcrafterme.com,200,yes,https://www.repeatcrafterme.com/2025/02/crochet-furry-friends-book.html,repeatcrafterme.com,no,text/html; charset=UTF-8,Crochet Furry Friends Book - Repeat Crafter Me,3,18,yes,no,yes,yes,no,yes,yes,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:51:57.284Z
coverage-review-p2-032,11,456,verify_directory_fit_before_any_approval,https://ride.guru/content/newsroom/finding-your-fare-with-rideguru-a-how-to-guide,ride.guru,200,yes,https://ride.guru/content/newsroom/finding-your-fare-with-rideguru-a-how-to-guide,ride.guru,no,text/html; charset=utf-8,RideGuru - How to Find Your Fare with RideGuru,27,201,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 27 form(s), 201 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:51:58.041Z
coverage-review-p2-032,12,457,verify_directory_fit_before_any_approval,https://ru.esosedi.org/RU/BA/8564043/ust_saldyibash,ru.esosedi.org,200,yes,https://esosedi.org/,esosedi.org,yes,text/html,еСоседи — Маршрут завершён,0,0,no,no,no,no,no,no,yes,no,no,reject_auth_required,Cloudflare/human verification signal found; final domain changed to esosedi.org,,2026-05-28T14:52:04.507Z
coverage-review-p2-032,13,459,verify_directory_fit_before_any_approval,https://www.runningwithspoons.com/easy-homemade-teriyaki-sauce,runningwithspoons.com,200,yes,https://www.runningwithspoons.com/easy-homemade-teriyaki-sauce/,runningwithspoons.com,no,text/html; charset=UTF-8,"Easy Homemade Teriyaki Sauce (gluten-free, vegan)",6,33,yes,no,yes,no,no,yes,yes,no,no,reject_auth_required,"CAPTCHA signal found; Cloudflare/human verification signal found; 6 form(s), 33 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:52:07.837Z
coverage-review-p2-032,14,460,verify_directory_fit_before_any_approval,https://www.runningwithspoons.com/flourless-carrot-cake-muffins,runningwithspoons.com,200,yes,https://www.runningwithspoons.com/flourless-carrot-cake-muffins/,runningwithspoons.com,no,text/html; charset=UTF-8,Flourless Carrot Cake Muffins | running with spoons,6,41,yes,no,yes,no,no,yes,yes,no,no,reject_auth_required,"CAPTCHA signal found; Cloudflare/human verification signal found; 6 form(s), 41 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:52:12.803Z
coverage-review-p2-032,15,461,verify_directory_fit_before_any_approval,https://runpee.com/10-best-math-movies-for-middle-school-students,runpee.com,200,yes,https://runpee.com/10-best-math-movies-for-middle-school-students/,runpee.com,no,text/html; charset=UTF-8,10 Best Math Movies For Middle School Students &#8211; RunPee,1,1,yes,no,yes,yes,no,yes,yes,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:52:14.443Z
coverage-review-p2-032,16,465,verify_directory_fit_before_any_approval,https://scandasia.com/binh-duong-province-of-vietnam-attracts-more-than-4000-foreign-direct-investment-projects,scandasia.com,404,no,https://scandasia.com/binh-duong-province-of-vietnam-attracts-more-than-4000-foreign-direct-investment-projects,scandasia.com,no,text/html; charset=UTF-8,Page not found - Scandasia,2,4,yes,no,no,no,no,yes,yes,no,no,review_fetch_failed,"CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 4 input/select/textarea fields; submit/add/list/publish button text signal found; HTTP 404",HTTP 404,2026-05-28T14:52:19.850Z
coverage-review-p2-032,17,468,verify_directory_fit_before_any_approval,https://www.selfloverainbow.com/self-improvement-7-reasons-why-we-struggle,selfloverainbow.com,200,yes,https://www.selfloverainbow.com/self-improvement-7-reasons-why-we-struggle,selfloverainbow.com,no,text/html; charset=UTF-8,Self-Improvement: 7 Reasons Why We Struggle | Self-Love Rainbow,1,2,yes,no,yes,yes,no,yes,no,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:52:23.461Z
