batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-1-12,1,P2,37,3,approved,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"Browser review 2026-05-28: 2FindLocal is a real local business directory. The homepage explicitly says you can submit your business listing for free and exposes a public Submit free listing / SUBMIT YOUR BUSINESS flow to https://www.2findlocal.com/Modules/Biz/bizPhoneLookup.php with a visible business phone lookup step to start listing creation. Keep approved as a directory target, but scope fit is local business directory rather than SaaS-specific.",browser_read_only_review,https://www.2findlocal.com/Modules/Biz/bizPhoneLookup.php,2findlocal.com,free,unknown,missing_domain,needs_manual_review,https://www.2findlocal.com/,2findlocal.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 142:url; directory-submissions-external-links.md:144,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-1-12,2,P2,37,95,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,HTTP review 2026-05-28: apitracker.io/mcp-servers currently returns 403 Forbidden and did not expose a public anonymous submission surface in this review pass. Keep out of automation until a manual authenticated or explicitly public add-server flow is verified.,browser_read_only_review,,apitracker.io,unknown,unknown,missing_domain,needs_manual_review,https://apitracker.io/mcp-servers,apitracker.io,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 32:url; directory-submissions-external-links.md:34,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-1-12,3,P2,37,142,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogarama.com,unknown,unknown,missing_domain,needs_manual_review,https://www.blogarama.com/,blogarama.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 157:url; directory-submissions-external-links.md:159,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-1-12,4,P2,37,173,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"Official site review 2026-05-28: Calameo is a digital publishing and document sharing platform for online flipbooks and publications, not a product or software directory listing surface.",browser_web_read_only_review,,calameo.com,unknown,unknown,missing_domain,needs_manual_review,https://www.calameo.com/,calameo.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 165:url; directory-submissions-external-links.md:167,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-1-12,5,P2,37,217,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"Official site review 2026-05-28: Disqus is a commenting and audience engagement platform for publishers and communities, not a product or software directory listing surface.",browser_web_read_only_review,,disqus.com,unknown,unknown,missing_domain,needs_manual_review,https://disqus.com/,disqus.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 51:url; directory-submissions-external-links.md:53,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-1-12,6,P2,37,227,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"Official site review 2026-05-28: Etsy is a consumer marketplace for handmade, vintage, and craft goods sellers, not a product or software directory listing surface.",browser_web_read_only_review,,etsy.com,unknown,unknown,missing_domain,needs_manual_review,https://www.etsy.com/,etsy.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 176:url; directory-submissions-external-links.md:178,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-1-12,7,P2,37,230,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"Official site review 2026-05-28: Evernote is a note-taking and productivity application homepage, not a product or software directory listing surface.",browser_web_read_only_review,,evernote.com,unknown,unknown,missing_domain,needs_manual_review,https://evernote.com/,evernote.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 56:url; directory-submissions-external-links.md:58,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-1-12,8,P2,37,238,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,ezinearticles.com,unknown,unknown,missing_domain,needs_manual_review,https://ezinearticles.com/,ezinearticles.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 58:url; directory-submissions-external-links.md:60,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-1-12,9,P2,37,251,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,finduslocal.com,unknown,unknown,missing_domain,needs_manual_review,https://www.finduslocal.com/,finduslocal.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 182:url; directory-submissions-external-links.md:184,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-1-12,10,P2,37,261,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"Official site review 2026-05-28: Flickr is a photography hosting and sharing community for photos and creators, not a product or software directory listing surface.",browser_web_read_only_review,,flickr.com,unknown,unknown,missing_domain,needs_manual_review,https://www.flickr.com/,flickr.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 183:url; directory-submissions-external-links.md:185,,,,,,,,,,,,,,,,,0,,
