batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p0-005,1,P0,337,75,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,aiscout.net,unknown,unknown,domain_in_registry_only,review_submit_url,https://aiscout.net/submit,aiscout.net,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 20:url; directory-submissions-external-links.md:22,ai-scout; ai-scout-aiscout-net-submit-listing-details,https://aiscout.net/; https://aiscout.net/submit-listing/details
p0-005,2,P0,337,79,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,aitoolsdirectory.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://aitoolsdirectory.com/submit,aitoolsdirectory.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 25:url; directory-submissions-external-links.md:27,aitoolsdirectory,https://aitoolsdirectory.com/submit-tool
p0-005,3,P0,337,208,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,devhunt.org,unknown,unknown,domain_in_registry_only,review_submit_url,https://devhunt.org/submit,devhunt.org,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 49:url; directory-submissions-external-links.md:51,dev-hunt; dev-hunt-devhunt-org-account-tools-new,https://devhunt.org/; https://devhunt.org/account/tools/new
p0-005,4,P0,287,472,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,sideprojectors.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.sideprojectors.com/project/new,sideprojectors.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 239:url; directory-submissions-external-links.md:241,sideprojectors,https://www.sideprojectors.com/
p0-005,5,P0,287,497,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,stackshare.io,unknown,unknown,domain_in_registry_only,review_submit_url,https://stackshare.io/new-product,stackshare.io,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 115:url; directory-submissions-external-links.md:117,stackshare,https://stackshare.io/submit
p0-005,6,P0,187,63,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,ai.xyz,unknown,unknown,missing_domain,review_submit_url,https://ai.xyz/submit,ai.xyz,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 7:url; directory-submissions-external-links.md:9,,
p0-005,7,P0,187,64,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,aiagents.live,unknown,unknown,missing_domain,review_submit_url,https://aiagents.live/submit,aiagents.live,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 8:url; directory-submissions-external-links.md:10,,
p0-005,8,P0,187,65,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,aiagentsbase.com,unknown,unknown,missing_domain,review_submit_url,https://aiagentsbase.com/submit,aiagentsbase.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 9:url; directory-submissions-external-links.md:11,,
p0-005,9,P0,187,68,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,aiagentsmarketplace.com,unknown,unknown,missing_domain,review_submit_url,https://aiagentsmarketplace.com/submit,aiagentsmarketplace.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 12:url; directory-submissions-external-links.md:14,,
p0-005,10,P0,187,72,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,aimatchpro.ai,unknown,unknown,missing_domain,review_submit_url,https://aimatchpro.ai/submit,aimatchpro.ai,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 16:url; directory-submissions-external-links.md:18,,
p0-005,11,P0,187,78,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,aitools.love,unknown,unknown,missing_domain,review_submit_url,https://aitools.love/submit,aitools.love,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 24:url; directory-submissions-external-links.md:26,,
p0-005,12,P0,187,81,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,aitrendytools.com,unknown,unknown,missing_domain,review_submit_url,https://www.aitrendytools.com/submit,aitrendytools.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 145:url; directory-submissions-external-links.md:147,,
p0-005,13,P0,187,115,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,bestofweb.io,unknown,unknown,missing_domain,review_submit_url,https://bestofweb.io/submit,bestofweb.io,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 36:url; directory-submissions-external-links.md:38,,
p0-005,14,P0,187,274,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,getbyte.co,unknown,unknown,missing_domain,review_submit_url,https://getbyte.co/submit,getbyte.co,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 64:url; directory-submissions-external-links.md:66,,
p0-005,15,P0,187,332,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,launchvault.com,unknown,unknown,missing_domain,review_submit_url,https://launchvault.com/submit,launchvault.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 83:url; directory-submissions-external-links.md:85,,
p0-005,16,P0,187,390,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,nocode.mba,unknown,unknown,missing_domain,review_submit_url,https://www.nocode.mba/tools/submit,nocode.mba,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 216:url; directory-submissions-external-links.md:218,,
p0-005,17,P0,187,392,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,nocodedevs.com,unknown,unknown,missing_domain,review_submit_url,https://www.nocodedevs.com/submit,nocodedevs.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 218:url; directory-submissions-external-links.md:220,,
