batch_id,batch_order,queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,review_decision,reviewed_pricing,reviewer,reviewed_at,review_notes,evidence_url,evidence_matched,http_status,fetch_ok,payment_signal,free_signal,freemium_signal,captcha_signal,cloudflare_signal,suggestion_basis,automation_policy
pricing-paid-high-001,1,6,appalist-com,https://appalist.com/,appalist.com,assisted,https://appalist.com/,unknown,paid,mark_paid,high,,,,,,https://appalist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
pricing-paid-high-001,2,7,ashlist-com,https://ashlist.com,ashlist.com,assisted,https://ashlist.com/,unknown,paid,mark_paid,high,,,,,,https://ashlist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
pricing-paid-high-001,3,15,launchscroll-com,https://launchscroll.com/,launchscroll.com,assisted,https://launchscroll.com/,unknown,paid,mark_paid,high,,,,,,https://launchscroll.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
pricing-paid-high-001,4,18,mylaunchstash-com,https://mylaunchstash.com/,mylaunchstash.com,assisted,https://mylaunchstash.com/,unknown,paid,mark_paid,high,,,,,,https://mylaunchstash.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
pricing-paid-high-001,5,20,poweruptools-com,https://poweruptools.com,poweruptools.com,assisted,https://poweruptools.com/,unknown,paid,mark_paid,high,,,,,,https://poweruptools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
pricing-paid-high-001,6,21,productlistdir-com,https://productlistdir.com,productlistdir.com,assisted,https://productlistdir.com/,unknown,paid,mark_paid,high,,,,,,https://productlistdir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
pricing-paid-high-001,7,22,productwing-com,https://productwing.com/,productwing.com,assisted,https://productwing.com/,unknown,paid,mark_paid,high,,,,,,https://productwing.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
pricing-paid-high-001,8,23,saasfield-com,https://saasfield.com/,saasfield.com,assisted,https://saasfield.com/,unknown,paid,mark_paid,high,,,,,,https://saasfield.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
pricing-paid-high-001,9,24,saashubdirectory-com,https://saashubdirectory.com,saashubdirectory.com,assisted,https://saashubdirectory.com/,unknown,paid,mark_paid,high,,,,,,https://saashubdirectory.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
pricing-paid-high-001,10,25,saasroots-com,https://saasroots.com/,saasroots.com,assisted,https://saasroots.com/,unknown,paid,mark_paid,high,,,,,,https://saasroots.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
pricing-paid-high-001,11,26,smartkithub-com,https://smartkithub.com,smartkithub.com,assisted,https://smartkithub.com/,unknown,paid,mark_paid,high,,,,,,https://smartkithub.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
