lane_id,lane_type,lane_priority,lane_order,lane_estimated_minutes_per_row,order,priority,target_id,name,domain,pricing,risk,auth_profile,auth_state_path,auth_meta_path,status,next_action,ready_for_auth_rescout,saved_at,size_bytes,login_url,submit_url,auth_login_command,auth_status_command,auth_scout_command,safety_blocker,lane_csv_path
auth-login-004,auth_manual_login,P0,1,6,31,P0,iforai,iforai,iforai.com,unknown,unknown,iforai,playwright/.auth/iforai.storage-state.json,playwright/.auth/iforai.meta.json,manual_login_required,run_auth_login_command,no,,0,https://iforai.com/submit_website,https://iforai.com/submit_website,"node src/cli.js auth login --profile ""iforai"" --url ""https://iforai.com/submit_website""","node src/cli.js auth status --profile ""iforai""","node src/cli.js scout ""https://iforai.com/submit_website"" --auth-profile ""iforai"" --target-id ""iforai"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-004.csv
auth-login-004,auth_manual_login,P0,2,6,32,P0,mergeek,Mergeek,mergeek.com,unknown,unknown,mergeek,playwright/.auth/mergeek.storage-state.json,playwright/.auth/mergeek.meta.json,manual_login_required,run_auth_login_command,no,,0,https://mergeek.com/publish_project,https://mergeek.com/publish_project,"node src/cli.js auth login --profile ""mergeek"" --url ""https://mergeek.com/publish_project""","node src/cli.js auth status --profile ""mergeek""","node src/cli.js scout ""https://mergeek.com/publish_project"" --auth-profile ""mergeek"" --target-id ""mergeek"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-004.csv
auth-login-004,auth_manual_login,P0,3,6,33,P0,offpagesavvy,Offpagesavvy,offpagesavvy.com,unknown,unknown,offpagesavvy,playwright/.auth/offpagesavvy.storage-state.json,playwright/.auth/offpagesavvy.meta.json,manual_login_required,run_auth_login_command,no,,0,https://www.offpagesavvy.com/submit-your-site,https://www.offpagesavvy.com/submit-your-site,"node src/cli.js auth login --profile ""offpagesavvy"" --url ""https://www.offpagesavvy.com/submit-your-site""","node src/cli.js auth status --profile ""offpagesavvy""","node src/cli.js scout ""https://www.offpagesavvy.com/submit-your-site"" --auth-profile ""offpagesavvy"" --target-id ""offpagesavvy"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-004.csv
auth-login-004,auth_manual_login,P0,4,6,34,P0,wechalet-cn,小木屋,wechalet.cn,unknown,unknown,wechalet-cn,playwright/.auth/wechalet-cn.storage-state.json,playwright/.auth/wechalet-cn.meta.json,manual_login_required,run_auth_login_command,no,,0,https://wechalet.cn/appstore/user-submit,https://wechalet.cn/appstore/add,"node src/cli.js auth login --profile ""wechalet-cn"" --url ""https://wechalet.cn/appstore/user-submit""","node src/cli.js auth status --profile ""wechalet-cn""","node src/cli.js scout ""https://wechalet.cn/appstore/add"" --auth-profile ""wechalet-cn"" --target-id ""wechalet-cn"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-004.csv
auth-login-004,auth_manual_login,P0,5,6,35,P0,appalist-com,https://appalist.com/,appalist.com,unknown,unknown,appalist-com,playwright/.auth/appalist-com.storage-state.json,playwright/.auth/appalist-com.meta.json,manual_login_required,run_auth_login_command,no,,0,https://appalist.com/get-started,https://appalist.com/,"node src/cli.js auth login --profile ""appalist-com"" --url ""https://appalist.com/get-started""","node src/cli.js auth status --profile ""appalist-com""","node src/cli.js scout ""https://appalist.com/"" --auth-profile ""appalist-com"" --target-id ""appalist-com"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-004.csv
auth-login-004,auth_manual_login,P0,6,6,36,P0,ashlist-com,https://ashlist.com,ashlist.com,unknown,unknown,ashlist-com,playwright/.auth/ashlist-com.storage-state.json,playwright/.auth/ashlist-com.meta.json,manual_login_required,run_auth_login_command,no,,0,https://ashlist.com/get-started,https://ashlist.com/,"node src/cli.js auth login --profile ""ashlist-com"" --url ""https://ashlist.com/get-started""","node src/cli.js auth status --profile ""ashlist-com""","node src/cli.js scout ""https://ashlist.com/"" --auth-profile ""ashlist-com"" --target-id ""ashlist-com"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-004.csv
auth-login-004,auth_manual_login,P0,7,6,37,P0,launchscroll-com,https://launchscroll.com/,launchscroll.com,unknown,unknown,launchscroll-com,playwright/.auth/launchscroll-com.storage-state.json,playwright/.auth/launchscroll-com.meta.json,manual_login_required,run_auth_login_command,no,,0,https://launchscroll.com/get-started,https://launchscroll.com/,"node src/cli.js auth login --profile ""launchscroll-com"" --url ""https://launchscroll.com/get-started""","node src/cli.js auth status --profile ""launchscroll-com""","node src/cli.js scout ""https://launchscroll.com/"" --auth-profile ""launchscroll-com"" --target-id ""launchscroll-com"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-004.csv
auth-login-004,auth_manual_login,P0,8,6,38,P0,mylaunchstash-com,https://mylaunchstash.com/,mylaunchstash.com,unknown,unknown,mylaunchstash-com,playwright/.auth/mylaunchstash-com.storage-state.json,playwright/.auth/mylaunchstash-com.meta.json,manual_login_required,run_auth_login_command,no,,0,https://mylaunchstash.com/get-started,https://mylaunchstash.com/,"node src/cli.js auth login --profile ""mylaunchstash-com"" --url ""https://mylaunchstash.com/get-started""","node src/cli.js auth status --profile ""mylaunchstash-com""","node src/cli.js scout ""https://mylaunchstash.com/"" --auth-profile ""mylaunchstash-com"" --target-id ""mylaunchstash-com"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-004.csv
auth-login-004,auth_manual_login,P0,9,6,39,P0,openfuture-ai,OpenFuture AI,openfuture.ai,unknown,unknown,openfuture-ai,playwright/.auth/openfuture-ai.storage-state.json,playwright/.auth/openfuture-ai.meta.json,manual_login_required,run_auth_login_command,no,,0,https://openfuture.ai/zh/submit-tool,https://openfuture.ai/zh/submit-tool,"node src/cli.js auth login --profile ""openfuture-ai"" --url ""https://openfuture.ai/zh/submit-tool""","node src/cli.js auth status --profile ""openfuture-ai""","node src/cli.js scout ""https://openfuture.ai/zh/submit-tool"" --auth-profile ""openfuture-ai"" --target-id ""openfuture-ai"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-004.csv
auth-login-004,auth_manual_login,P0,10,6,40,P0,poweruptools-com,https://poweruptools.com,poweruptools.com,unknown,unknown,poweruptools-com,playwright/.auth/poweruptools-com.storage-state.json,playwright/.auth/poweruptools-com.meta.json,manual_login_required,run_auth_login_command,no,,0,https://poweruptools.com/get-started,https://poweruptools.com/,"node src/cli.js auth login --profile ""poweruptools-com"" --url ""https://poweruptools.com/get-started""","node src/cli.js auth status --profile ""poweruptools-com""","node src/cli.js scout ""https://poweruptools.com/"" --auth-profile ""poweruptools-com"" --target-id ""poweruptools-com"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-004.csv
