lane_id,lane_type,lane_priority,lane_order,lane_estimated_minutes_per_row,order,priority,target_id,name,domain,pricing,risk,auth_profile,auth_state_path,auth_meta_path,status,next_action,ready_for_auth_rescout,saved_at,size_bytes,login_url,submit_url,auth_login_command,auth_status_command,auth_scout_command,safety_blocker,lane_csv_path,lane_json_path,backlog_output_dir
auth-login-001,auth_manual_login,P0,1,6,1,P0,beta-list,Beta List,betalist.com,free,unknown,beta-list,playwright/.auth/beta-list.storage-state.json,playwright/.auth/beta-list.meta.json,manual_login_required,run_auth_login_command,no,,0,https://betalist.com/sign_in,https://betalist.com/submissions/new,"node src/cli.js auth login --profile ""beta-list"" --url ""https://betalist.com/sign_in""","node src/cli.js auth status --profile ""beta-list""","node src/cli.js scout ""https://betalist.com/submissions/new"" --auth-profile ""beta-list"" --target-id ""beta-list"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-001.csv,backlink-url/backlog-lanes/lanes/auth-login-001.json,backlink-url/backlog-lanes
auth-login-001,auth_manual_login,P0,2,6,2,P0,chatgptdemo,ChatGPT demo,chatgptdemo.com,free,unknown,chatgptdemo,playwright/.auth/chatgptdemo.storage-state.json,playwright/.auth/chatgptdemo.meta.json,manual_login_required,run_auth_login_command,no,,0,https://chatgptdemo.com/submit-new-ai-tool,https://chatgptdemo.com/submit-new-ai-tool,"node src/cli.js auth login --profile ""chatgptdemo"" --url ""https://chatgptdemo.com/submit-new-ai-tool""","node src/cli.js auth status --profile ""chatgptdemo""","node src/cli.js scout ""https://chatgptdemo.com/submit-new-ai-tool"" --auth-profile ""chatgptdemo"" --target-id ""chatgptdemo"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-001.csv,backlink-url/backlog-lanes/lanes/auth-login-001.json,backlink-url/backlog-lanes
auth-login-001,auth_manual_login,P0,3,6,3,P0,promptzone,Promptzone,promptzone.com,free,unknown,promptzone,playwright/.auth/promptzone.storage-state.json,playwright/.auth/promptzone.meta.json,manual_login_required,run_auth_login_command,no,,0,https://www.promptzone.com/new,https://www.promptzone.com/new,"node src/cli.js auth login --profile ""promptzone"" --url ""https://www.promptzone.com/new""","node src/cli.js auth status --profile ""promptzone""","node src/cli.js scout ""https://www.promptzone.com/new"" --auth-profile ""promptzone"" --target-id ""promptzone"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-001.csv,backlink-url/backlog-lanes/lanes/auth-login-001.json,backlink-url/backlog-lanes
auth-login-001,auth_manual_login,P0,4,6,4,P0,resource-fyi,Resource fyi,resource.fyi,free,unknown,resource-fyi,playwright/.auth/resource-fyi.storage-state.json,playwright/.auth/resource-fyi.meta.json,manual_login_required,run_auth_login_command,no,,0,https://resource.fyi/login,https://resource.fyi/account/submit,"node src/cli.js auth login --profile ""resource-fyi"" --url ""https://resource.fyi/login""","node src/cli.js auth status --profile ""resource-fyi""","node src/cli.js scout ""https://resource.fyi/account/submit"" --auth-profile ""resource-fyi"" --target-id ""resource-fyi"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-001.csv,backlink-url/backlog-lanes/lanes/auth-login-001.json,backlink-url/backlog-lanes
auth-login-001,auth_manual_login,P0,5,6,5,P0,sitelike,Sitelike,sitelike.org,free,unknown,sitelike,playwright/.auth/sitelike.storage-state.json,playwright/.auth/sitelike.meta.json,manual_login_required,run_auth_login_command,no,,0,https://www.sitelike.org/add-site,https://www.sitelike.org/add-site,"node src/cli.js auth login --profile ""sitelike"" --url ""https://www.sitelike.org/add-site""","node src/cli.js auth status --profile ""sitelike""","node src/cli.js scout ""https://www.sitelike.org/add-site"" --auth-profile ""sitelike"" --target-id ""sitelike"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-001.csv,backlink-url/backlog-lanes/lanes/auth-login-001.json,backlink-url/backlog-lanes
auth-login-001,auth_manual_login,P0,6,6,6,P0,ai-tool-guru,AI Tool guru,aitoolguru.com,free,unknown,ai-tool-guru,playwright/.auth/ai-tool-guru.storage-state.json,playwright/.auth/ai-tool-guru.meta.json,manual_login_required,run_auth_login_command,no,,0,https://aitoolguru.com/login,https://aitoolguru.com/submit-ai-tool,"node src/cli.js auth login --profile ""ai-tool-guru"" --url ""https://aitoolguru.com/login""","node src/cli.js auth status --profile ""ai-tool-guru""","node src/cli.js scout ""https://aitoolguru.com/submit-ai-tool"" --auth-profile ""ai-tool-guru"" --target-id ""ai-tool-guru"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-001.csv,backlink-url/backlog-lanes/lanes/auth-login-001.json,backlink-url/backlog-lanes
auth-login-001,auth_manual_login,P0,7,6,7,P0,ai-tools-arena,AI Tools Arena,aitoolsarena.com,free,unknown,ai-tools-arena,playwright/.auth/ai-tools-arena.storage-state.json,playwright/.auth/ai-tools-arena.meta.json,manual_login_required,run_auth_login_command,no,,0,https://aitoolsarena.com/ai-tools-list-new,https://aitoolsarena.com/,"node src/cli.js auth login --profile ""ai-tools-arena"" --url ""https://aitoolsarena.com/ai-tools-list-new""","node src/cli.js auth status --profile ""ai-tools-arena""","node src/cli.js scout ""https://aitoolsarena.com/"" --auth-profile ""ai-tools-arena"" --target-id ""ai-tools-arena"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-001.csv,backlink-url/backlog-lanes/lanes/auth-login-001.json,backlink-url/backlog-lanes
auth-login-001,auth_manual_login,P0,8,6,8,P0,alternative-me,Alternative,alternative.me,free,unknown,alternative-me,playwright/.auth/alternative-me.storage-state.json,playwright/.auth/alternative-me.meta.json,manual_login_required,run_auth_login_command,no,,0,https://alternative.me/how-to/suggest-alternatives,https://alternative.me/how-to/submit-software,"node src/cli.js auth login --profile ""alternative-me"" --url ""https://alternative.me/how-to/suggest-alternatives""","node src/cli.js auth status --profile ""alternative-me""","node src/cli.js scout ""https://alternative.me/how-to/submit-software"" --auth-profile ""alternative-me"" --target-id ""alternative-me"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-001.csv,backlink-url/backlog-lanes/lanes/auth-login-001.json,backlink-url/backlog-lanes
auth-login-001,auth_manual_login,P0,9,6,9,P0,bestofai,BestOfAI,bestofai.com,free,unknown,bestofai,playwright/.auth/bestofai.storage-state.json,playwright/.auth/bestofai.meta.json,manual_login_required,run_auth_login_command,no,,0,https://bestofai.com/tool/add,https://bestofai.com/tool/add,"node src/cli.js auth login --profile ""bestofai"" --url ""https://bestofai.com/tool/add""","node src/cli.js auth status --profile ""bestofai""","node src/cli.js scout ""https://bestofai.com/tool/add"" --auth-profile ""bestofai"" --target-id ""bestofai"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-001.csv,backlink-url/backlog-lanes/lanes/auth-login-001.json,backlink-url/backlog-lanes
auth-login-001,auth_manual_login,P0,10,6,10,P0,f6s,F6S,f6s.com,free,unknown,f6s,playwright/.auth/f6s.storage-state.json,playwright/.auth/f6s.meta.json,manual_login_required,run_auth_login_command,no,,0,https://www.f6s.com/,https://www.f6s.com/,"node src/cli.js auth login --profile ""f6s"" --url ""https://www.f6s.com/""","node src/cli.js auth status --profile ""f6s""","node src/cli.js scout ""https://www.f6s.com/"" --auth-profile ""f6s"" --target-id ""f6s"" --registry ""resources/targets.canonical.yaml"" --persist --scout-dir ""resources/scout-results"" --update-registry --engine playwright",,backlink-url/backlog-lanes/lanes/auth-login-001.csv,backlink-url/backlog-lanes/lanes/auth-login-001.json,backlink-url/backlog-lanes
